Season,Date,Location,Team,Opponent,Abbr,Jersey,PlayerName,StarterFlag,Mins,3PT_Pct,FG_Pct,FT_Pct,Reb_O,Reb_D,Reb_T,PF,AST,TO,BLK,STL,Pts,3PTM,3PTA,FGM,FGA,FTM,FTA,TS_Pct,eFG_Pct
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,8.0,Lydell Husbands-Browne,False,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,15.0,Alejandro Ruiz,False,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,12.0,Caleb Sooley,False,3,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,11.0,Dontae Mitchell,True,40,100.0,90.9,66.7,2,1,3,4,2,2,0,0,25,1,1,10,11,4,6,91.64,95.45
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,8.0,Shae Linton-Brown,True,34,60.0,66.7,100.0,0,0,0,4,3,4,0,0,20,3,5,8,12,1,1,80.39,79.17
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,1.0,Jace Colley,True,38,50.0,77.8,75.0,1,1,2,3,1,2,3,0,18,1,2,7,9,3,4,83.64,83.33
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,23.0,Qyemah Gibson,True,31,42.9,41.7,66.7,0,6,6,1,1,0,0,0,15,3,7,5,12,2,3,56.31,54.17
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,3.0,Jayrell Diggs,False,0,50.0,22.2,100.0,0,1,1,2,0,0,0,0,6,1,2,2,9,1,1,31.78,27.78
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,4.0,Johneil Johnson,False,6,50.0,33.3,0.0,1,2,3,3,2,1,0,0,5,1,2,2,6,0,0,41.67,41.67
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,7.0,Nikita Kasongo,True,39,33.3,16.7,0.0,2,3,5,4,0,0,0,0,3,1,3,1,6,0,0,25.0,25.0
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,2.0,Jonah Crowther,False,1,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2021-22,2021-10-03,"Wolfville, NS",Saint Mary's Huskies,Dalhousie Tigers,SMU,10.0,Jackson Enyinna,False,11,0.0,0.0,0.0,2,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0
2021-22,2021-10-03,"Wolfville, NS",St. Francis Xavier X-Men,Acadia Axemen,STX,55.0,David Muenkat,True,40,50.0,61.5,80.0,4,6,10,1,1,1,2,0,21,1,2,8,13,4,5,69.08,65.38
2021-22,2021-10-03,"Wolfville, NS",St. Francis Xavier X-Men,Acadia Axemen,STX,3.0,Antoine Vernon,True,27,75.0,63.6,100.0,0,2,2,0,3,4,0,0,20,3,4,7,11,3,3,81.17,77.27
2021-22,2021-10-03,"Wolfville, NS",St. Francis Xavier X-Men,Acadia Axemen,STX,21.0,Handy Disanka,True,25,100.0,83.3,0.0,2,6,8,1,1,1,1,0,11,1,1,5,6,0,1,85.4,91.67
2021-22,2021-10-03,"Wolfville, NS",St. Francis Xavier X-Men,Acadia Axemen,STX,27.0,Avan Nava,True,31,33.3,57.1,0.0,0,1,1,1,4,0,0,0,9,1,3,4,7,0,0,64.29,64.29
2021-22,2021-10-03,"Wolfville, NS",St. Francis Xavier X-Men,Acadia Axemen,STX,10.0,Jamie White,True,31,33.3,60.0,0.0,1,0,1,4,1,0,0,0,7,1,3,3,5,0,0,70.0,70.0
2021-22,2021-10-03,"Wolfville, NS",St. Francis Xavier X-Men,Acadia Axemen,STX,5.0,Justin Andrew,False,15,25.0,40.0,50.0,0,4,4,1,0,0,0,0,6,1,4,2,5,1,2,51.02,50.0
2021-22,2021-10-03,"Wolfville, NS",St. Francis Xavier X-Men,Acadia Axemen,STX,12.0,Gatluak James,False,10,66.7,50.0,0.0,2,3,5,2,1,3,0,0,6,2,3,2,4,0,0,75.0,75.0
2021-22,2021-10-03,"Wolfville, NS",St. Francis Xavier X-Men,Acadia Axemen,STX,15.0,Bennett Grumbach,False,5,33.3,33.3,0.0,0,3,3,2,0,1,0,0,5,1,3,2,6,0,0,41.67,41.67
