Season,Date,Location,Team,Opponent,Jersey,PlayerName,StarterFlag,Mins,ThreePt_Made_Att,ThreePtPct,FG_Made_Att,FGPct,FT_Made_Att,FTPct,Reb_Off,Reb_Def,Reb_Tot,PF,AST,TO,BLK,STL,Pts
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,11,Sterling Simpson,1,25,0-1,0.0,4-5,80.0,0-1,0.0,2,3,5,3,4,2,1,3,8
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,1,Lucas Tompkins,0,14,2-5,40.0,2-6,33.3,0-0,0.0,1,1,2,1,2,1,0,2,6
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,14,Ethan Drost,0,17,0-0,0.0,2-3,66.7,0-2,0.0,4,2,6,3,1,2,0,0,4
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,9,Benjamin Gilbert,0,17,1-2,50.0,1-5,20.0,0-0,0.0,0,3,3,1,2,1,0,0,3
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,10,Haany Ahmed,0,4,0-1,0.0,0-1,0.0,0-0,0.0,0,3,3,1,0,1,0,0,0
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,12,Greg Manuel,0,14,0-0,0.0,0-3,0.0,0-0,0.0,4,3,7,0,3,1,0,0,0
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,5,Nathan Petrone,1,38,4-9,44.4,9-15,60.0,10-12,83.3,1,8,9,3,3,3,0,0,32
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,11,Chase Bohne,0,27,2-5,40.0,3-7,42.9,9-9,100.0,1,2,3,0,2,3,0,1,17
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,14,Patrick Vandervelden,1,14,0-0,0.0,6-8,75.0,0-0,0.0,2,3,5,5,1,0,1,0,12
2021-22,"Sat Oct 2, 2021","Regina, SK",Mount Royal University Cougars,Regina Cougars,24,Lincoln Anderson,0,15,3-3,100.0,4-5,80.0,0-0,0.0,0,4,4,3,1,0,0,1,11
